ERR1912985.39__1.39	820__A7V092__hldE
ERR1912985.75__1.75	487174__K0XBH1__DIT83_01445
ERR1912985.262__1.262	1150298__A0A174EM68__ERS852406_01867
ERR1912985.488__1.488	1160721__R6THG6__RBI_I00012
ERR1912985.508__1.508	820__A0A396EUU8__luxQ_3
ERR1912985.459__1.459	46506__R6A5T2__DXC41_10795
ERR1912985.584__1.584	820__A0A396CMY7__HMPREF1072_03009
ERR1912985.586__1.586	820__A0A174CK74__DXB48_07060
ERR1912985.616__1.616	28117__B0MXX3__BHV66_07695
ERR1912985.622__1.622	246787__A0A0P0FV02__AA416_03728
ERR1912985.681__1.681	1263006__R6LGA5__BN515_00076
ERR1912985.854__1.854	46503__R6X5E7__PARMER_00245
ERR1912985.925__1.925	310297__B5D433__DXC17_02005
ERR1912985.932__1.932	820__A0A139K9Q2__DXD40_08795
ERR1912985.1018__1.1018	818__Q8A3I3__HMPREF2534_00068
ERR1912985.1130__1.1130	820__A0A173XIP7__B5G17_16050
ERR1912985.1127__1.1127	1263000__R5EFJ5__BN466_01372
ERR1912985.1128__1.1128	1262761__R6RU22__BN606_01110
ERR1912985.1062__1.1062	310297__B5CZW4__BACPLE_02283
ERR1912985.1366__1.1366	46506__S3YVF9__BACSTE_02487
ERR1912985.1393__1.1393	1304__J7TU69__A6J87_07685
ERR1912985.1427__1.1427	820__A0A139K5A6__DXB48_12175
ERR1912985.1449__1.1449	1550024__A0A0D8IYY8__TQ39_09180
ERR1912985.1593__1.1593	818__A0A3E5HWN5__BSIG_3066
ERR1912985.1709__1.1709	46506__B0NUC3__SAMN05444283_1019
ERR1912985.1715__1.1715	820__A0A139K5A6__DXB48_12175
ERR1912985.1732__1.1732	1262886__R6REM1__BN563_00995
ERR1912985.1766__1.1766	246787__A0A0P0GDM7__BcellWH2_03148
ERR1912985.1846__1.1846	1465754__A0A1H4FGH5__SAMN05444145_11058
ERR1912985.2195__1.2195	1318__T0TTB0__strH_1
ERR1912985.2271__1.2271	410072__A0A174K1W4__apxIB
ERR1912985.2314__1.2314	1304__A0A0A1DX26__SSAL8618_09600
ERR1912985.2315__1.2315	1262886__R6Q913__BN563_00459
ERR1912985.2393__1.2393	820__R9I3N4__M093_0061
ERR1912985.2532__1.2532	28117__B0MWP2__ALIPUT_01468
ERR1912985.2550__1.2550	310297__R5VAF2__DXC17_13935
ERR1912985.2620__1.2620	246787__A0A0P0FV02__AA416_03728
ERR1912985.2633__1.2633	46506__S3YS03__DXC34_03445
ERR1912985.2664__1.2664	246787__A0A0P0GDM7__BcellWH2_03148
ERR1912985.2682__1.2682	823__A0A174WTX5__DD466_11965
ERR1912985.2749__1.2749	246787__A0A139L268__BcellWH2_03192
ERR1912985.2794__1.2794	1263000__R5EGY7__BN466_01478
ERR1912985.2889__1.2889	818__A0A0P0F2P7__BT_1771
ERR1912985.2873__1.2873	28117__R7JLP2__ALIPUT_00416
ERR1912985.2878__1.2878	246787__A0A0P0FVC6__BACCELL_03671
ERR1912985.2980__1.2980	1628085__A0A1C6BMM1__C7386_11221
ERR1912985.2983__1.2983	239935__A0A2N8IEP3__CXT84_03735
ERR1912985.3010__1.3010	46506__R6A5T2__DXC41_10795
ERR1912985.3029__1.3029	818__A0A0P0F2P7__BT_1771
ERR1912985.3185__1.3185	28117__B0MSS1__ALIPUT_00273
ERR1912985.3208__1.3208	301301__A0A395V4X8__ERS852391_01546
ERR1912985.3259__1.3259	46506__R6LAK5__SAMN05444283_11231
ERR1912985.3260__1.3260	310297__B5CZ21__DXB87_00235
ERR1912985.3316__1.3316	46506__S3YT03__AA415_01895
ERR1912985.3352__1.3352	360807__C0FZM4__RIL183_06871
ERR1912985.3377__1.3377	820__A0A173YYG4__evgS_3
ERR1912985.3804__1.3804	28117__B0MXD0__ALIPUT_01669
ERR1912985.3881__1.3881	310297__R5VHE6__BACPLE_02321
ERR1912985.3857__1.3857	1262927__R7EVZ3__BN677_01052
ERR1912985.4062__1.4062	394340__purB
ERR1912985.4081__1.4081	818__A0A1H7S810__BJP75_003270
ERR1912985.4186__1.4186	360807__C0FNY7__ERS852392_01257
ERR1912985.4191__1.4191	310297__R5VHE6__BACPLE_02321
ERR1912985.4200__1.4200	487174__K0X070__HMPREF9448_01324
ERR1912985.4209__1.4209	310297__R5VVP4__DXC17_11285
ERR1912985.4373__1.4373	310297__R5VL46__BACPLE_00694
ERR1912985.4432__1.4432	820__E5VEH7__ERS852459_01300
ERR1912985.4438__1.4438	239935__R7DVW2__CXU02_03915
ERR1912985.4526__1.4526	301301__A0A395V736__ERS852391_01566
ERR1912985.4491__1.4491	820__A0A3E4GA19__SAMN05444418_10562
ERR1912985.4564__1.4564	820__A0A3E4IGB2__HMPREF1073_03893
ERR1912985.4701__1.4701	357276__A0A076INK2__BSEG_04225
ERR1912985.4665__1.4665	74426__rpoC
ERR1912985.4773__1.4773	40520__R7D6X4__addA
ERR1912985.4774__1.4774	239935__A0A2N8IKW7__pstA
ERR1912985.4833__1.4833	1897011__A0A1Q6RJV2__BHW41_00030
ERR1912985.4851__1.4851	46506__S3YGB4__DXC41_06355
ERR1912985.5129__1.5129	28117__B0N007__BHV66_10275
ERR1912985.5231__1.5231	1897011__A0A1Q6RDL4__BHW41_05540
ERR1912985.5285__1.5285	310297__B5CW17__DXC17_13800
ERR1912985.5301__1.5301	46228__V8CBW1__HMPREF1202_00636
ERR1912985.5309__1.5309	1160721__W0U5X6__RBI_I01796
ERR1912985.5316__1.5316	487174__K0X1V7__DIT83_03020
ERR1912985.5491__1.5491	1262783__R6CVE3__BN558_00695
ERR1912985.5627__1.5627	106588__A6NUL8__BACCAP_01900
ERR1912985.5634__1.5634	310297__B5D3X3__DXB87_14935
ERR1912985.5824__1.5824	820__A0A173YYG4__evgS_3
ERR1912985.5882__1.5882	28117__B0MXD0__ALIPUT_01669
ERR1912985.5903__1.5903	1160721__W0U3P8__RBI_I00386
ERR1912985.6011__1.6011	357276__I9RHT4__EL88_09235
ERR1912985.6117__1.6117	246787__A0A0P0FV02__AA416_03728
ERR1912985.6155__1.6155	246787__A0A0P0GG22__BACCELL_01899
ERR1912985.6184__1.6184	39491__A0A396FVC0__ERE_15900
ERR1912985.6241__1.6241	357276__A0A076IRV2__BACDOR_02822
ERR1912985.6213__1.6213	28052__R7NAP6__ERS852499_01969
ERR1912985.6385__1.6385	1150298__A0A174DSD1__dacB_3
ERR1912985.6538__1.6538	46506__B0NT08__BACSTE_02624
ERR1912985.6569__1.6569	1150298__A0A174KMK7__rluD_3
ERR1912985.6652__1.6652	218538__C9LL79__GCWU000321_00015
ERR1912985.6667__1.6667	853__A0A174BZY1__xerD_1
ERR1912985.6683__1.6683	818__A0A3E5GY47__SAMN02910322_02002
ERR1912985.6701__1.6701	310297__R5VVK0__BACPLE_02007
ERR1912985.6718__1.6718	1535__A7VTI7__CLOLEP_01879
ERR1912985.6791__1.6791	246787__R6KBH9__HMPREF1062_04676
ERR1912985.6883__1.6883	246787__A0A0P0GNB7__xyl4
ERR1912985.6917__1.6917	1263006__R6MR77__BN515_00434
ERR1912985.6952__1.6952	1262746__R5S2B4__BN750_01573
ERR1912985.6981__1.6981	360807__C0FU45__ERS852392_01591
ERR1912985.7028__1.7028	46506__R6L6Y9__wza_1
ERR1912985.7104__1.7104	820__A0A174GK47__ERS852421_00200
ERR1912985.7151__1.7151	820__A0A3E4WCX3__C801_02709
ERR1912985.7217__1.7217	28117__B0MY40__BHV66_05170
ERR1912985.7320__1.7320	46506__B0NUC8__DXC34_03410
ERR1912985.7371__1.7371	246787__R6LCL3__AA416_03522
ERR1912985.7519__1.7519	1304__A0A1V0GL68__CGZ74_06870
