ERR1913041.2__1.2	28116__F7LBW8__C5Z02_16055
ERR1913041.32__1.32	39492__D4JQU6__ERS852540_02194
ERR1913041.132__1.132	40518__R5E282__DXD86_08940
ERR1913041.164__1.164	28118__F9Z5M3__B5F93_14990
ERR1913041.276__1.276	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913041.327__1.327	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913041.387__1.387	165179__A0A3E5E4T9__DXB80_08030
ERR1913041.543__1.543	626933__H1DGX0__HMPREF9449_01506
ERR1913041.627__1.627	820__A0A139JRH8__HMPREF2141_04326
ERR1913041.643__1.643	39485__R5ZPP8__EUBELI_20334
ERR1913041.832__1.832	204516__U6RA51__HMPREF1534_03959
ERR1913041.993__1.993	106588__A6NXS6__BACCAP_03021
ERR1913041.1016__1.1016	28117__B0MTW8__ALIPUT_00502
ERR1913041.1078__1.1078	39485__A0A174YVS4__EUBELI_00620
ERR1913041.1159__1.1159	69974__A0A090FEL8__MPL3365_630008
ERR1913041.1164__1.1164	1323__A0A3E3DXS9__eutH
ERR1913041.1216__1.1216	1628085__A0A3E2Y1L0__C7386_11254
ERR1913041.1357__1.1357	39485__A0A174ZA08__EUBELI_01019
ERR1913041.1375__1.1375	39485__R5ZRS0__EUBELI_20324
ERR1913041.1401__1.1401	69974__A0A090FEL8__MPL3365_630008
ERR1913041.1404__1.1404	69974__A0A090FEL8__MPL3365_630008
ERR1913041.1431__1.1431	820__R9I2U8__DXC68_09590
ERR1913041.1498__1.1498	39491__C4Z8B6__ERE_17960
ERR1913041.1438__1.1438	1680__A0A2R4G1K8__BBMN23_0315
ERR1913041.1594__1.1594	1297617__A0A0S2W2I7__BIV19_00590
ERR1913041.1757__1.1757	39491__A0A395ZHW3__ERS852417_01359
ERR1913041.1797__1.1797	165179__A0A174IPI3__CFT61_10940
ERR1913041.1845__1.1845	853__D4KAK8__C4N21_13380
ERR1913041.1863__1.1863	39485__R5ZZA6__ERS852490_00168
ERR1913041.1833__1.1833	39491__C4Z872__LD38_07250
ERR1913041.1888__1.1888	39485__A0A174ZTY8__ycfH
ERR1913041.1896__1.1896	69974__A0A090FEL8__MPL3365_630008
ERR1913041.1999__1.1999	418240__R6PCU6__ERS852478_00410
ERR1913041.2066__1.2066	216816__B3DNW2__BL171B_07980
ERR1913041.2103__1.2103	165179__A0A3E5EB26__CFT61_02800
ERR1913041.2080__1.2080	165179__A0A229I3Z6__PREVCOP_03666
ERR1913041.2128__1.2128	69974__A0A090FEL8__MPL3365_630008
ERR1913041.2174__1.2174	40518__R5DU38__DXD83_06770
ERR1913041.2199__1.2199	328814__GCA_004558275.1_00007
ERR1913041.2445__1.2445	165179__A0A3E5AER8__DXB80_07075
ERR1913041.2449__1.2449	1262924__R7HQ14__BN585_00419
ERR1913041.2496__1.2496	39491__A0A396FRK0__ERS852417_00541
ERR1913041.2508__1.2508	39485__C4Z0S8__hisK
ERR1913041.2731__1.2731	39485__A0A174YJA4__EUBELI_20421
ERR1913041.2888__1.2888	28118__F9ZAE1__DF785_04930
ERR1913041.3018__1.3018	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3022__1.3022	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3078__1.3078	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3099__1.3099	310298__B3JLC6__BACCOP_02712
ERR1913041.3194__1.3194	310298__B3JH76__BACCOP_01230
ERR1913041.3227__1.3227	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3251__1.3251	28118__R6F6F1__B5F93_10805
ERR1913041.3252__1.3252	820__A0A174CG08__DXB62_13215
ERR1913041.3316__1.3316	165179__A0A229I9X5__CFT61_01205
ERR1913041.3453__1.3453	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3431__1.3431	1262992__R5D3X7__BN795_00539
ERR1913041.3474__1.3474	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3538__1.3538	40518__R5DXH2__DXD83_10135
ERR1913041.3583__1.3583	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3596__1.3596	39485__A0A1Q6PH92__cbbX
ERR1913041.3627__1.3627	165179__A0A3E5EA43__DXC61_07775
ERR1913041.3645__1.3645	165179__D1PHM6__DXC61_06700
ERR1913041.3725__1.3725	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3809__1.3809	1323__A0A3E3E4M4__capA
ERR1913041.3900__1.3900	74426__rpoC
ERR1913041.3982__1.3982	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3998__1.3998	69974__A0A090FEL8__MPL3365_630008
ERR1913041.4021__1.4021	165179__A0A3E5EB26__CFT61_02800
ERR1913041.4149__1.4149	310298__B3JED9__BACCOP_00230
ERR1913041.4170__1.4170	1262924__R7HNZ2__BN585_02017
ERR1913041.4306__1.4306	39485__C4Z538__EUBELI_00734
ERR1913041.4336__1.4336	39491__A0A396FS17__envC
ERR1913041.4352__1.4352	69974__A0A090FEL8__MPL3365_630008
ERR1913041.4379__1.4379	69974__A0A090FEL8__MPL3365_630008
ERR1913041.4498__1.4498	69974__A0A090FEL8__MPL3365_630008
ERR1913041.4533__1.4533	487174__K0WX10__DIT83_10030
ERR1913041.4572__1.4572	28117__B0MYI9__BHV66_05415
ERR1913041.4595__1.4595	1262924__R7HPZ6__BN585_00681
ERR1913041.4727__1.4727	310298__B3JNG7__BACCOP_03480
ERR1913041.4854__1.4854	371601__F7M1V2__DXD80_13245
ERR1913041.4937__1.4937	69974__A0A090FEL8__MPL3365_630008
ERR1913041.5006__1.5006	310298__B3JI31__BACCOP_01543
ERR1913041.5192__1.5192	853__A0A2A7B9I6__DW855_13690
ERR1913041.5276__1.5276	357276__B6W1J2__BACDOR_03380
ERR1913041.5381__1.5381	310298__B3JEE8__BACCOP_00239
ERR1913041.5415__1.5415	69974__A0A090FEL8__MPL3365_630008
ERR1913041.5451__1.5451	69974__A0A090FEL8__MPL3365_630008
ERR1913041.5534__1.5534	853__A0A2A6Z8X1__FPR_03410
ERR1913041.5569__1.5569	165179__A0A3E5EB26__CFT61_02800
