ERR1913213.33__1.33	544644__GCA_001915615.1_01854
ERR1913213.82__1.82	357276__I8WAB8__B5F00_08100
ERR1913213.249__1.249	1897011__A0A1Q6REX0__BHW41_04225
ERR1913213.694__1.694	823__A0A174U5E4__BDI_3390
ERR1913213.875__1.875	28117__R7JIY2__BHV66_06465
ERR1913213.1014__1.1014	821__A0A395UNT8__DXD64_15275
ERR1913213.1103__1.1103	1262889__R7HF34__BN634_01261
ERR1913213.1283__1.1283	820__A0A139KHX1__HMPREF2141_00289
ERR1913213.1648__1.1648	357276__I8WEY2__ABI39_04185
ERR1913213.1763__1.1763	40518__R5E6U1__yunB
ERR1913213.2209__1.2209	33043__A0A173WWJ5__ERS852386_00339
ERR1913213.2233__1.2233	357276__I8WC65__EL88_00520
ERR1913213.3081__1.3081	818__A0A3E5HDS4__BJP75_002620
ERR1913213.3115__1.3115	1897011__A0A1Q6RC54__BHW41_06555
ERR1913213.3351__1.3351	1897011__A0A1Q6RCY9__BHW41_06000
ERR1913213.3782__1.3782	46228__B5CQI6__RUMLAC_01732
ERR1913213.3907__1.3907	33039__D4M149__ERS852390_03118
ERR1913213.4154__1.4154	39492__R6SPM9__pheT
ERR1913213.4164__1.4164	454155__G5SN36__HMPREF9442_01813
ERR1913213.4238__1.4238	1262777__R5VV74__BN512_00530
ERR1913213.4539__1.4539	147206__GCF_000156215.1_01776
ERR1913213.4684__1.4684	1547597__A0A0C3R6L4__IE90_10150
ERR1913213.5039__1.5039	487174__K0XH97__HMPREF9448_01909
ERR1913213.5176__1.5176	46228__B5CPY7__DXD17_03515
ERR1913213.5391__1.5391	165179__A0A3E5DWZ6__DXC61_10880
ERR1913213.5557__1.5557	28117__B0MXU6__ALIPUT_01958
ERR1913213.5604__1.5604	39488__A0A374N0M3__EUBHAL_02860
ERR1913213.5623__1.5623	39492__D4JVG1__ERS852540_00951
ERR1913213.5687__1.5687	39492__D4JW10__pppA
ERR1913213.5774__1.5774	1262935__R5GIC8__BN773_01423
ERR1913213.6556__1.6556	454155__F3QUE7__HMPREF9442_01818
ERR1913213.6700__1.6700	1262935__R5GFW3__BN773_00404
ERR1913213.7309__1.7309	1262889__R7H889__BN634_02048
ERR1913213.7425__1.7425	46503__A0A3E4ZQ73__ERS852463_01043
ERR1913213.7411__1.7411	1262886__R6QJR0__BN563_01268
ERR1913213.7607__1.7607	47678__R5UUS9__ERS852558_01432
ERR1913213.7627__1.7627	291644__R5JDR3__HMPREF1071_02272
ERR1913213.7732__1.7732	1262935__R5GH23__BN773_00804
ERR1913213.8026__1.8026	358743__G5HI30__DWZ14_18970
ERR1913213.8034__1.8034	1262935__R5GJC7__BN773_01761
ERR1913213.8038__1.8038	1262935__R5GTF2__BN773_00142
ERR1913213.8401__1.8401	291644__R5JC88__HMPREF1532_00990
ERR1913213.8514__1.8514	39777__A0A380N440__bioF
ERR1913213.8848__1.8848	820__A0A3E5E0T0__ERS852554_00312
ERR1913213.9320__1.9320	823__C7XA51__BDI_0499
ERR1913213.9655__1.9655	46228__V8BPH3__RUMLAC_01268
ERR1913213.9708__1.9708	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913213.9798__1.9798	239935__A0A2N8IVK9__CXU08_03750
ERR1913213.10234__1.10234	291644__I9SQZ5__ERS852428_01656
ERR1913213.10266__1.10266	820__A0A3E4G2R7__DXC07_00510
ERR1913213.10550__1.10550	357276__A0A076INK2__BSEG_04225
ERR1913213.10562__1.10562	2293125__A0A374BSW4__DW917_13420
ERR1913213.10625__1.10625	384638__B7APN3__BACPEC_00639
ERR1913213.10684__1.10684	821__A0A396F598__CUU_3259
ERR1913213.10930__1.10930	28117__B0MTH2__ALIPUT_00061
ERR1913213.11060__1.11060	46506__B0NQN6__AA415_00632
ERR1913213.11096__1.11096	820__A0A139KG60__M094_2679
ERR1913213.11270__1.11270	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913213.11361__1.11361	46228__B5CPY3__DXD17_03535
ERR1913213.11402__1.11402	1262935__R5GHA4__BN773_00035
ERR1913213.11582__1.11582	28116__C3QVY2__SAMN05444282_12234
ERR1913213.11615__1.11615	1965661__A0A1Y3SQ48__B5G37_01270
ERR1913213.11765__1.11765	371601__I9UPW7__BN890_25900
ERR1913213.11942__1.11942	823__A0A174DZM1__DDY96_10310
ERR1913213.12019__1.12019	1262935__R5GH94__BN773_00883
ERR1913213.12147__1.12147	1262935__R5GGB1__BN773_00342
ERR1913213.12359__1.12359	28116__F7L4X5__M089_2857
ERR1913213.12446__1.12446	328814__GCA_004558275.1_00990
ERR1913213.12492__1.12492	371601__C3QME2__CW1_3650
ERR1913213.12624__1.12624	821__A0A173XDD3__DXB82_17180
ERR1913213.12629__1.12629	28118__F9Z8Y8__B5F99_07140
ERR1913213.12710__1.12710	1262992__R5CXM8__BN795_01024
ERR1913213.12806__1.12806	823__A0A173TL14__M095_0764
ERR1913213.12922__1.12922	46506__B0NPY3__BACSTE_02000
ERR1913213.12941__1.12941	1262889__R7HDN9__BN634_01543
ERR1913213.12998__1.12998	46228__V8C7P7__HMPREF1202_01523
ERR1913213.13065__1.13065	1262736__R5Y4N0__BN496_00283
ERR1913213.13180__1.13180	40518__R5DVL2__penA
ERR1913213.13240__1.13240	2293125__A0A374BSW4__DW917_13420
ERR1913213.13657__1.13657	823__A0A073I748__M096_3057
ERR1913213.13670__1.13670	291644__R5JNC3__HMPREF1071_03576
ERR1913213.13751__1.13751	487174__K0X9T7__HMPREF9448_00996
ERR1913213.14012__1.14012	1897011__A0A1Q6RI93__BHW41_01175
ERR1913213.14119__1.14119	1628085__A0A1C5YAJ9__C7386_10197
ERR1913213.14255__1.14255	39492__R6SPM9__pheT
ERR1913213.14262__1.14262	40518__R5DQL2__RBATCC27255_00937
ERR1913213.14598__1.14598	1262911__R6H2J2__BN557_01228
ERR1913213.14528__1.14528	1262889__R7HA41__BN634_01028
ERR1913213.14632__1.14632	1262935__R5GK32__BN773_00174
ERR1913213.14928__1.14928	821__A0A174NM17__lacZ_6
ERR1913213.15069__1.15069	357276__I9R2M6__BSEG_03499
ERR1913213.15639__1.15639	35833__E5Y2V2__HMPREF0179_00466
ERR1913213.15762__1.15762	1262935__R5GIS0__BN773_01547
ERR1913213.16253__1.16253	28111__E5X121__BACEGG_03113
ERR1913213.16288__1.16288	357276__C3R9Y0__HMPREF1064_01889
ERR1913213.16311__1.16311	1262911__R6H0U7__BN557_01104
ERR1913213.16312__1.16312	1262889__R7HFS7__BN634_01527
ERR1913213.16542__1.16542	357276__A0A174L570__GV66_05720
ERR1913213.16790__1.16790	1550024__G9RXA1__TQ39_18810
ERR1913213.16876__1.16876	39492__D4JUS6__accD5
ERR1913213.16967__1.16967	1262888__R6P830__BN582_00368
ERR1913213.16977__1.16977	544644__GCA_001915615.1_00447
ERR1913213.17052__1.17052	387090__S0FBZ8__BACCOPRO_01470
ERR1913213.17145__1.17145	28118__F9Z9C4__B5F93_16310
ERR1913213.17655__1.17655	820__A0A3E4W984__pssA
ERR1913213.17726__1.17726	357276__A0A076J8D4__HMPREF1064_00553
ERR1913213.18365__1.18365	239935__R7E524__CXT91_06180
ERR1913213.18551__1.18551	39496__A5Z5I2__EUBVEN_00963
ERR1913213.18578__1.18578	291644__I9SJB6__HMPREF1532_04086
ERR1913213.18803__1.18803	1897011__A0A1Q6RDI2__BHW41_05530
ERR1913213.18856__1.18856	820__A0A174TRB5__DXD40_11305
ERR1913213.18950__1.18950	1501391__GCA_000786575.1_00035
ERR1913213.18942__1.18942	626930__F3PWA3__HMPREF9446_03038
ERR1913213.19127__1.19127	28111__E5X428__HMPREF1016_03686
ERR1913213.19675__1.19675	1262935__R5GSG2__BN773_01661
ERR1913213.19753__1.19753	1897011__A0A1Q6RCY9__BHW41_06000
ERR1913213.19764__1.19764	1628085__A0A3E2XZW0__C7386_101386
ERR1913213.19940__1.19940	823__A0A173VS36__M091_4727
ERR1913213.19996__1.19996	214856__R6XTZ7__ERS852447_02314
ERR1913213.20272__1.20272	745368__A0A1T4XIY7__SAMN02745178_01914
ERR1913213.20334__1.20334	28117__B0MT73__ALIPUT_00412
ERR1913213.20348__1.20348	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913213.20385__1.20385	556259__E5C8S0__BSGG_1769
ERR1913213.20454__1.20454	2293125__A0A374BSW4__DW917_13420
