ERR1913210.89__1.89	28117__B0MTV0__BHV66_06395
ERR1913210.178__1.178	1160721__W0U1Y5__BHW50_01965
ERR1913210.483__1.483	10678__GeneID:2777481
ERR1913210.550__1.550	1147151__GeneID:14182060
ERR1913210.849__1.849	357276__A0A0K2HG61__BACDOR_02028
ERR1913210.965__1.965	1263000__R5EIH8__BN466_01210
ERR1913210.1188__1.1188	246787__A0A3D6AWM8__BACCELL_01963
ERR1913210.1390__1.1390	46228__V8BL81__DXD17_11825
ERR1913210.1362__1.1362	301302__R5UQ67__M72_23121
ERR1913210.1688__1.1688	1262921__R5LTU7__BN473_01717
ERR1913210.1785__1.1785	820__A0A3E4GA19__SAMN05444418_10562
ERR1913210.1886__1.1886	1262921__R5MBU7__BN473_02531
ERR1913210.1889__1.1889	1147151__GeneID:14182072
ERR1913210.1949__1.1949	28117__B0MXG7__BHV66_08620
ERR1913210.2107__1.2107	1262921__R5M5S6__BN473_01072
ERR1913210.2272__1.2272	1262882__R5MKL9__BN519_00353
ERR1913210.2302__1.2302	1262882__R5N526__BN519_01603
ERR1913210.2344__1.2344	1262911__R6H2J2__BN557_01228
ERR1913210.2384__1.2384	2173__A0A1D2WVW7__Msm_0828
ERR1913210.2950__1.2950	1099853__U5CBZ4__NSB1T_00950
ERR1913210.3238__1.3238	39496__A5Z6L0__EUBVEN_01343
ERR1913210.3285__1.3285	1262882__R5MLP5__BN519_01602
ERR1913210.3402__1.3402	820__A0A3E4WA06__ERS852554_03404
ERR1913210.3473__1.3473	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913210.3503__1.3503	29361__B6FKH5__CLONEX_00621
ERR1913210.3721__1.3721	562__P77294__fimG
ERR1913210.3760__1.3760	1099853__G9S4S4__NSB1T_09140
ERR1913210.4226__1.4226	39492__D4MN06__EUBSIR_02672
ERR1913210.4143__1.4143	1099853__U5CB66__NSB1T_01370
ERR1913210.4262__1.4262	46228__V8BQN5__RUMLAC_01272
ERR1913210.4448__1.4448	745368__A0A1T4WEV8__SAMN02745178_00491
ERR1913210.4668__1.4668	820__A0A174TRB5__DXD40_11305
ERR1913210.4723__1.4723	1262882__R5MSP5__BN519_01637
ERR1913210.4918__1.4918	820__A0A173XIP7__B5G17_16050
ERR1913210.4964__1.4964	454155__F3QXY1__HMPREF9442_03071
ERR1913210.4981__1.4981	1262921__R5M2J9__BN473_00593
ERR1913210.5239__1.5239	357276__B6W1Y1__BSEG_03960
ERR1913210.5574__1.5574	823__A0A355XP97__M092_2525
ERR1913210.6191__1.6191	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913210.6106__1.6106	1147151__GeneID:14182075
ERR1913210.6125__1.6125	562__A0A0E1LDD5__B9N12_14240
ERR1913210.6336__1.6336	820__A0A139K4W1__M093_0353
ERR1913210.6520__1.6520	46228__V8CAV6__addA
ERR1913210.6654__1.6654	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913210.6698__1.6698	74426__asnS
ERR1913210.6775__1.6775	1262889__R7HBR7__BN634_00170
ERR1913210.6803__1.6803	1150298__R7JRJ7__ERS852406_01438
ERR1913210.6937__1.6937	214856__I3YMC8__ERS852447_02666
ERR1913210.7156__1.7156	28117__B0MTH2__ALIPUT_00061
ERR1913210.7184__1.7184	357276__A0A076INK2__BSEG_04225
ERR1913210.7324__1.7324	1263000__R5EKR3__BN466_00099
ERR1913210.7437__1.7437	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913210.7612__1.7612	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913210.7580__1.7580	487175__F3QIR3__HMPREF9439_00813
ERR1913210.7667__1.7667	204516__U6R8I1__HMPREF1534_03341
ERR1913210.7678__1.7678	820__A7V470__HMPREF1072_02076
ERR1913210.7988__1.7988	172901__A0A2U1BA30__C8D82_102105
ERR1913210.8302__1.8302	1262911__R6HI44__BN557_01691
ERR1913210.8459__1.8459	39492__A0A174ZYY6__EUBSIR_02510
ERR1913210.8753__1.8753	820__A0A174FUF0__HMPREF1073_03308
