ERR1913049.341__1.341	1262886__R6QAT8__BN563_00993
ERR1913049.549__1.549	1897011__A0A1Q6RIC6__BHW41_01345
ERR1913049.555__1.555	901__B6WTX7__DESPIGER_1193
ERR1913049.871__1.871	1262927__R7EX56__BN677_00089
ERR1913049.1042__1.1042	46228__B5CT56__RUMLAC_02679
ERR1913049.1725__1.1725	901__B6WTR4__DESPIGER_1248
ERR1913049.1809__1.1809	28117__R7JH62__BHV66_05735
ERR1913049.1822__1.1822	166486__D4KZA5__ERS852572_03317
ERR1913049.1871__1.1871	1897011__A0A1Q6RH73__BHW41_01885
ERR1913049.2012__1.2012	674529__A0A174RBF7__SAMN05444400_1464
ERR1913049.2108__1.2108	74426__group_4808
ERR1913049.2139__1.2139	39496__A5Z5I2__EUBVEN_00963
ERR1913049.2417__1.2417	1262911__R6GLI1__BN557_01518
ERR1913049.2692__1.2692	1501391__GCA_000786575.1_00027
ERR1913049.2827__1.2827	328814__GCA_004558275.1_00294
ERR1913049.3208__1.3208	901__B6WRB3__DESPIGER_0300
ERR1913049.3351__1.3351	901__B6WRB3__DESPIGER_0300
ERR1913049.3515__1.3515	360807__A0A396ADE9__ROSEINA2194_02917
ERR1913049.3733__1.3733	901__B6WY46__DESPIGER_1451
ERR1913049.3784__1.3784	901__B6WXD6__DHV46_02215
ERR1913049.3847__1.3847	1897011__A0A1Q6RGE4__BHW41_02910
ERR1913049.4069__1.4069	61171__B9Y5T8__HOLDEFILI_01170
ERR1913049.4214__1.4214	214856__R5UN64__ERS852447_02669
ERR1913049.4960__1.4960	1262886__R6QBQ5__BN563_01294
ERR1913049.5074__1.5074	376805__F0R8B1__Bacsa_3573
ERR1913049.5078__1.5078	214856__R5UN64__ERS852447_02669
ERR1913049.5204__1.5204	1262889__R7HDI0__BN634_01483
ERR1913049.5214__1.5214	1263000__R5EVY6__BN466_01709
ERR1913049.5303__1.5303	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913049.5919__1.5919	901__B6WPS9__DHV46_04165
ERR1913049.5999__1.5999	166486__D4KZY5__ROSINTL182_07635
ERR1913049.6270__1.6270	901__B6WQB0__DHV46_07090
ERR1913049.6272__1.6272	901__B6WSK7__DESPIGER_0721
ERR1913049.6424__1.6424	745368__A0A1T4XL98__SAMN02745178_01986
ERR1913049.6641__1.6641	214856__A0A174CRY5__ERS852559_01060
ERR1913049.7497__1.7497	572010__nifJ
ERR1913049.7644__1.7644	487174__R5EXS5__HMPREF9448_02541
ERR1913049.7735__1.7735	446660__GCA_003428235.1_01125
ERR1913049.7812__1.7812	28117__B0MTH2__ALIPUT_00061
